instance,prohibited_content
social.outsourcedmath.com,nudity_nocw
social.outsourcedmath.com,nudity_all
social.outsourcedmath.com,pornography_nocw
social.outsourcedmath.com,pornography_all
social.outsourcedmath.com,illegalContentLinks
social.outsourcedmath.com,spam
social.outsourcedmath.com,advertising
tilde.zone,nudity_nocw
tilde.zone,pornography_nocw
tilde.zone,illegalContentLinks
tilde.zone,spam
colorid.es,nudity_nocw
colorid.es,pornography_nocw
colorid.es,illegalContentLinks
colorid.es,spam
colorid.es,spoilers_nocw
ausglam.space,nudity_nocw
ausglam.space,nudity_all
ausglam.space,pornography_nocw
ausglam.space,pornography_all
ausglam.space,illegalContentLinks
ausglam.space,spam
ausglam.space,advertising
uwu.social,nudity_nocw
uwu.social,pornography_nocw
uwu.social,spam
social.linux.pizza,nudity_nocw
social.linux.pizza,nudity_all
social.linux.pizza,pornography_nocw
social.linux.pizza,pornography_all
social.linux.pizza,illegalContentLinks
social.linux.pizza,spam
social.linux.pizza,advertising
socel.net,nudity_nocw
socel.net,pornography_nocw
socel.net,pornography_all
socel.net,illegalContentLinks
socel.net,spam
socel.net,advertising
socel.net,spoilers_nocw
mstdn.love,nudity_nocw
mstdn.love,pornography_nocw
mstdn.love,illegalContentLinks
mstdn.love,spam
mstdn.love,advertising
mstdn.love,spoilers_nocw
en.osm.town,nudity_nocw
en.osm.town,pornography_nocw
en.osm.town,spam
tooting.ch,nudity_nocw
tooting.ch,pornography_nocw
tooting.ch,spam
tooting.ch,advertising
qoto.org,nudity_nocw
qoto.org,pornography_nocw
qoto.org,spam
qoto.org,advertising
qoto.org,spoilers_nocw
social.anoxinon.de,nudity_nocw
social.anoxinon.de,nudity_all
social.anoxinon.de,pornography_nocw
social.anoxinon.de,pornography_all
social.anoxinon.de,illegalContentLinks
social.anoxinon.de,spam
girlcock.club,nudity_nocw
girlcock.club,pornography_nocw
girlcock.club,advertising
social.slat.org,illegalContentLinks
social.slat.org,spam
social.slat.org,advertising
mastodon.zergy.net,illegalContentLinks
mastodon.zergy.net,spam
mastodon.zergy.net,advertising
abdl.link,nudity_nocw
abdl.link,pornography_nocw
abdl.link,illegalContentLinks
abdl.link,spam
norden.social,illegalContentLinks
norden.social,spam
liberdon.com,nudity_nocw
liberdon.com,pornography_nocw
liberdon.com,pornography_all
liberdon.com,spam
liberdon.com,advertising
phpc.social,nudity_nocw
phpc.social,pornography_nocw
phpc.social,illegalContentLinks
phpc.social,spam
phpc.social,advertising
krefeld.life,nudity_nocw
krefeld.life,pornography_nocw
krefeld.life,pornography_all
krefeld.life,illegalContentLinks
krefeld.life,spam
polyglot.city,nudity_nocw
polyglot.city,pornography_nocw
polyglot.city,pornography_all
polyglot.city,illegalContentLinks
polyglot.city,spam
polyglot.city,advertising
pgh.social,nudity_nocw
pgh.social,pornography_nocw
pgh.social,spam
pgh.social,advertising
deadinsi.de,nudity_nocw
deadinsi.de,pornography_nocw
deadinsi.de,illegalContentLinks
deadinsi.de,spam
deadinsi.de,advertising
aus.social,spam
pcgamer.social,nudity_nocw
pcgamer.social,pornography_nocw
pcgamer.social,illegalContentLinks
pcgamer.social,spam
pcgamer.social,spoilers_nocw
ruby.social,nudity_nocw
ruby.social,nudity_all
ruby.social,pornography_nocw
ruby.social,pornography_all
ruby.social,illegalContentLinks
ruby.social,spam
ruby.social,advertising
ruby.social,spoilers_nocw
mastodon.nz,nudity_nocw
mastodon.nz,nudity_all
mastodon.nz,pornography_nocw
mastodon.nz,pornography_all
mastodon.nz,illegalContentLinks
mastodon.nz,spam
mastodon.nz,advertising
mastodon.nz,spoilers_nocw
nerdculture.de,nudity_nocw
nerdculture.de,pornography_nocw
nerdculture.de,pornography_all
nerdculture.de,illegalContentLinks
nerdculture.de,spam
nerdculture.de,advertising
bildung.social,nudity_nocw
bildung.social,nudity_all
bildung.social,pornography_nocw
bildung.social,pornography_all
bildung.social,spam
bildung.social,advertising
bildung.social,spoilers_nocw
muenchen.social,nudity_nocw
muenchen.social,nudity_all
muenchen.social,pornography_nocw
muenchen.social,pornography_all
muenchen.social,illegalContentLinks
muenchen.social,spam
bigshoulders.city,nudity_nocw
bigshoulders.city,nudity_all
bigshoulders.city,pornography_nocw
bigshoulders.city,pornography_all
bigshoulders.city,illegalContentLinks
bigshoulders.city,spam
bunt.social,nudity_nocw
bunt.social,pornography_nocw
bunt.social,illegalContentLinks
bunt.social,spam
bunt.social,advertising
bunt.social,spoilers_nocw
troet.cafe,nudity_nocw
troet.cafe,nudity_all
troet.cafe,pornography_nocw
troet.cafe,pornography_all
troet.cafe,illegalContentLinks
troet.cafe,spam
troet.cafe,advertising
dizl.de,nudity_nocw
dizl.de,pornography_nocw
dizl.de,illegalContentLinks
dizl.de,spam
dizl.de,spoilers_nocw
mastodontech.de,nudity_nocw
mastodontech.de,nudity_all
mastodontech.de,pornography_nocw
mastodontech.de,pornography_all
mastodontech.de,illegalContentLinks
mastodontech.de,spam
mastodontech.de,advertising
mastodontech.de,spoilers_nocw
kcmo.social,nudity_nocw
