instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
pouet.pt,2022-11-21T07:37:24.212Z,2024-10-30T12:40:03.764Z,2024-10-30T12:40:03.764Z,1,true,false,4.2.8,true,100,A+,80,B+,1,328,6683,true,Mastodon
mstdn.omisosiru.net,2022-11-21T07:37:28.057Z,2024-10-30T12:30:36.115Z,2024-10-30T12:30:36.115Z,1,true,false,3.2.0,false,5,"F ",115,A+,26,69978,10450,true,ねこまんま
freespeech.chat,2022-11-21T07:37:53.878Z,2024-10-30T13:15:07.368Z,2024-10-30T13:15:07.368Z,1,true,false,,true,10,"E ",125,A+,4,448,3780,true,Mastodon
scalie.eu,2022-11-21T07:37:55.838Z,2024-10-30T13:10:03.422Z,2024-10-30T13:10:03.422Z,1,true,false,,true,5,"F ",125,A+,3,15,5504,true,scalie.eu
my.elven.pw,2022-11-21T07:38:06.159Z,2024-10-30T12:50:05.662Z,2024-10-30T12:50:05.662Z,1,true,false,4.3.1,true,100,A+,125,A+,25,4731,8821,true,Elven Perfect World
okapi.website,2022-11-21T07:38:19.805Z,2024-10-30T13:10:06.449Z,2024-10-30T13:10:06.449Z,1,true,false,3.1.3,false,5,"F ",105,A+,201,492,990,true,okapi.website
xeno.chat,2022-11-21T07:38:20.982Z,2024-10-30T13:15:22.720Z,2024-10-30T13:15:22.720Z,1,true,false,4.3.1,false,10,"E ",80,B+,5,3187,6260,true,XenoChat
bbbdn.jp,2022-11-21T07:38:27.662Z,2024-10-30T12:35:52.708Z,2024-10-30T12:35:52.708Z,1,true,false,4.3.1,true,5,"F ",80,B+,26,23714,2307,true,びびびどん
social.nubecula.org,2022-11-21T07:38:28.229Z,2024-10-30T12:36:41.421Z,2024-10-30T12:36:41.421Z,1,true,false,,false,5,"F ",125,A+,8,152,13740,true,Blacksheeps Mastodon Server
mastodon.hypnoguys.com,2022-11-21T07:38:39.032Z,2024-10-30T13:15:15.498Z,2024-10-30T13:15:15.498Z,1,true,false,4.3.1,true,0,,80,B+,1270,26740,19587,true,HypnoGuys
mastodon.vierkantor.com,2022-11-21T07:38:42.068Z,2024-10-30T12:30:55.360Z,2024-10-30T12:30:55.360Z,1,true,false,,false,100,A+,115,A+,6,53156,19047,true,Vachtnoes
mastocomm.org,2022-11-21T07:39:23.492Z,2024-10-30T12:35:13.079Z,2024-10-30T12:35:13.079Z,1,true,false,4.3.1+glitch,true,10,"E ",125,A+,68,4991,14944,true,Mastodon Glitch Edition
mt.shc.kanagawa.jp,2022-11-21T07:39:26.637Z,2024-10-30T12:30:32.002Z,2024-10-30T12:30:32.002Z,1,true,false,,false,5,"F ",80,B+,17,135,12353,true,MT湘南ひらつか
mastodon.babyl.ca,2022-11-21T07:39:39.882Z,2024-10-30T12:30:25.244Z,2024-10-30T12:30:25.244Z,1,true,false,4.1.5,false,100,A+,60,C+,3,215,4168,true,Mastodon
drupal.community,2022-11-21T07:39:43.575Z,2024-10-30T12:30:19.777Z,2024-10-30T12:30:19.777Z,1,false,false,,false,5,"F ",130,A+,547,32049,26272,true,Drupal Mastodon
p.mr64.net,2022-11-21T07:39:45.185Z,2024-10-30T12:15:03.464Z,2024-10-30T12:15:03.464Z,1,true,false,,true,10,"E ",80,B+,6,4673,15950,true,64's Pleroma
